id,batch,subject,questionText,optionA,optionB,optionC,optionD,correctOption,marks,testType,language,explanation,imageUrl,text_mr
MATH-Q-111,"ALL","M1","What is the sum of roots for equation $ax^2 + bx + c = 0$?","$-\frac{b}{a}$","$\frac{c}{a}$","$\frac{b}{a}$","$b^2-4ac$","A",1,"Subject-wise","Marathi/English","By Vieta's formulas, $\alpha + \beta = -\frac{b}{a}$.","","वर्गसमीकरण $ax^2 + bx + c = 0$ मधील मुळांची बेरीज (Sum of roots) काय असते?"
MATH-Q-112,"Police Bharti; SSC GD","M1","Calculate the perimeter of a rectangle with length $l = 12\text{ m}$ and width $w = 5\text{ m}$.","34 m","60 m","17 m","40 m","A",1,"Subject-wise","Marathi/English","$P = 2(l + w) = 2(12 + 5) = 34\text{ m}$.","","लांबी $l = 12\text{ मी}$ व रुंदी $w = 5\text{ मी}$ असलेल्या आयताची परिमिती $P = 2(l+w)$ काढा."
MATH-Q-113,"ALL","M1","If $\theta = 45^\circ$, find $\tan\theta + \cos45^\circ$.","$1 + \frac{1}{\sqrt{2}}$","$\sqrt{2}$","2","$\frac{1}{\sqrt{2}}$","A",1,"Subject-wise","Marathi/English","$\tan45^\circ = 1$ and $\cos45^\circ = \frac{1}{\sqrt{2}} \implies 1 + \frac{1}{\sqrt{2}}$.","","जर $\theta = 45^\circ$ असेल, तर $\tan45^\circ + \cos45^\circ$ चे मूल्य काय असेल?"
MATH-Q-114,"Police Bharti; Vanrakshak","M1","Find the average of first 5 consecutive even numbers: $2, 4, 6, 8, 10$.","6","5","7","8","A",1,"Subject-wise","Marathi/English","Average $= \frac{2+4+6+8+10}{5} = \frac{30}{5} = 6$.","","पहिल्या ५ सम संख्यांची $(2, 4, 6, 8, 10)$ सरासरी काढा."
MATH-Q-115,"ALL","M1","Solve inequality: $2x - 4 < 10$.","$x < 7$","$x > 7$","$x < 3$","$x = 7$","A",1,"Subject-wise","Marathi/English","$2x < 14 \implies x < 7$.","","असमता सोडवा: $2x - 4 < 10$."
MATH-Q-116,"Police Bharti; SSC GD","M1","Compute Simple Interest $I = \frac{P \times R \times T}{100}$ for $P = 1000, R = 5\%, T = 2\text{ years}$.","100","150","200","50","A",1,"Subject-wise","Marathi/English","$I = \frac{1000 \times 5 \times 2}{100} = 100$.","","$P = 1000, R = 5\%, T = 2\text{ वर्षे}$ साठी सरळव्याज $I = \frac{P \times R \times T}{100}$ काढा."
MATH-Q-117,"ALL","M1","What is the sum of internal angles of a triangle?","$180^\circ$","$360^\circ$","$90^\circ$","$270^\circ$","A",1,"Subject-wise","Marathi/English","The sum of interior angles in any triangle is always $180^\circ$.","","त्रिकोणाच्या तिन्ही अंतःकोनांची बेरीज किती असते?"
MATH-Q-118,"Police Bharti; Vanrakshak","M1","Simplify algebraic expression: $(x+y)^2 - (x-y)^2$.","$4xy$","$2x^2 + 2y^2$","$2xy$","$0$","A",1,"Subject-wise","Marathi/English","$(x^2+2xy+y^2) - (x^2-2xy+y^2) = 4xy$.","","विस्तार सुलभ करा: $(x+y)^2 - (x-y)^2$."
MATH-Q-119,"ALL","M1","If speed $v = 60\text{ km/h}$, find distance traveled in $t = 2.5\text{ hours}$ using $d = v \times t$.","150 km","120 km","180 km","140 km","A",1,"Subject-wise","Marathi/English","$d = 60 \times 2.5 = 150\text{ km}$.","","वेग $v = 60\text{ किमी/तास}$ असताना $t = 2.5\text{ तासात}$ कापलेले अंतर $d = v \times t$ काढा."
MATH-Q-120,"ALL","M1","Find the logarithmic value of $\log_{10}(1000)$.","3","2","10","100","A",1,"Subject-wise","Marathi/English","Since $10^3 = 1000 \implies \log_{10}(1000) = 3$.","","$\log_{10}(1000)$ चे मूल्य किती?"
REAS-Q-201,"Police Bharti; Vanrakshak; SSC GD","M2","12, 24, 48, 96, ? Find the next term in the logical series.","192","144","172","180","A",1,"Subject-wise","Marathi/English","Each term is multiplied by 2 ($96 \times 2 = 192$).","","12, 24, 48, 96, ? या मालिकेतील पुढील संख्या कोणती?"
REAS-Q-202,"Police Bharti; SSC GD","M2","If CAT is coded as 3120, how is DOG coded?","4157","4156","3157","4147","A",1,"Subject-wise","Marathi/English","C=3, A=1, T=20. D=4, O=15, G=7 $\implies$ 4157.","","जर CAT चा कोड 3120 असेल, तर DOG चा कोड काय असेल?"
REAS-Q-203,"Vanrakshak; SSC GD","M2","A person walks 5 km North, then turns right and walks 12 km. Find the shortest distance from the start point.","13 km","17 km","7 km","15 km","A",1,"Subject-wise","Marathi/English","By Pythagoras theorem: $\sqrt{5^2 + 12^2} = \sqrt{25 + 144} = \sqrt{169} = 13\text{ km}$.","","एक व्यक्ती उत्तरेकडे ५ किमी चालतो, नंतर उजवीकडे वळून १२ किमी चालतो. मूळ ठिकाणापासूनचे सर्वात कमी अंतर काढा."
GK-Q-301,"Police Bharti; Vanrakshak","M3","Which is the highest peak in Maharashtra?","Kalsubai (१६४६ मी)","Salher","Mahabaleshwar","Torna","A",1,"Subject-wise","Marathi/English","Kalsubai peak in Ahmednagar district is the highest peak in Maharashtra at 1,646 meters.","","महाराष्ट्रातील सर्वात उंच शिखर कोणते?"
GK-Q-302,"Police Bharti; Vanrakshak; SSC GD","M3","Who was the founder of Satya Shodhak Samaj?","Mahatma Jyotirao Phule","Dr. B.R. Ambedkar","Chhatrapati Shahu Maharaj","Justice Ranade","A",1,"Subject-wise","Marathi/English","Mahatma Jyotirao Phule founded Satya Shodhak Samaj in Pune in 1873.","","सत्यशोधक समाजाची स्थापना कोणी केली?"
GK-Q-303,"ALL","M3","According to the Indian Constitution, who is the Supreme Commander of the Armed Forces?","The President of India","The Prime Minister","The Defense Minister","Chief of Defense Staff","A",1,"Subject-wise","Marathi/English","Article 53(2) states that the Supreme Command of the Defense Forces of the Union shall be vested in the President.","","भारतीय राज्यघटनेनुसार तिन्ही दलांचे सर्वोच्च प्रमुख कोण असतात?"
MAR-Q-401,"Police Bharti; Vanrakshak","M4","मराठी भाषेत एकूण किती स्वर (Vowels) आहेत?","१४ स्वर","१२ स्वर","५२ स्वर","३६ स्वर","A",1,"Subject-wise","Marathi/English","मराठी व्याकरण सुधारित नियमांनुसार (ऑ आणि ॲ सह) १४ स्वर आहेत.","","मराठी भाषेत एकूण किती स्वर आहेत?"
MAR-Q-402,"Police Bharti; Vanrakshak","M4","'राजाप्रजा' हा शब्द कोणत्या समासाचे उदाहरण आहे?","द्वंद्व समास","तत्पुरुष समास","द्विगु समास","बहुव्रीही समास","A",1,"Subject-wise","Marathi/English","राजा आणि प्रजा - दोन्ही पदे महत्त्वाची असल्याने इतरेतर/समाहार द्वंद्व समास.","","'राजाप्रजा' हा शब्द कोणत्या समासाचे उदाहरण आहे?"
